CONTRATO|FUNCAO_ANTIGA|PEDIDOS|FUNCAO_DESTINO|SITUACAO
BENTO GONÇALVES A.ADM 002 2021|COPEIRA|9|COPEIRA|ok
BENTO GONÇALVES LIMPEZA 048.2026|SERVENTE DE LIMPEZA|6|SERVENTE DE LIMPEZA|ok
BENTO GONÇALVES LIMPEZA 0672019|SERVENTE DE LIMPEZA|19|SERVENTE DE LIMPEZA|ok
CAMARA DE RIO GRANDE - PORTARIA - 002.2023|PORTEIRO|3|PORTEIRO|ok
CANAÃ|ATENDENTE DE CRECHE|6|ATENDENTE DE CRECHE|ok
CANAÃ|SERVENTE DE LIMPEZA|2|SERVENTE DE LIMPEZA|ok
CANAÃ|TECNICA EM ENFERMAGEM|1|TECNICA EM ENFERMAGEM|ok
CANOINHAS - EMBRAPA|JARDINEIRO|1|JARDINEIRO|ok
CANOINHAS - EMBRAPA|SERVENTE DE LIMPEZA|1|SERVENTE DE LIMPEZA|ok
CANOINHAS - EMBRAPA|SUPERVISOR|1|SUPERVISOR|ok
CAXIAS DO SUL - 095.2026|COORDENADOR|2|COORDENADOR|ok
CAXIAS DO SUL - 095.2026|RECEPCIONISTA|2|RECEPCIONISTA|ok
CAXIAS DO SUL - 095.2026|TELEFONISTA|1|TELEFONISTA|ok
CAXIAS DO SUL TELEFONISTAS - 2026/95|Recepcionista|1|RECEPCIONISTA|ok
CAXIAS DO SUL TELEFONISTAS - 2026/95|Teleatendente|1|TELEATENDENTE|ok
CHARQUEADAS - 005 2021|SERVENTE DE LIMPEZA|6|SERVENTE DE LIMPEZA|ok
CHARQUEADAS - 168 2021|MERENDEIRA|19|MERENDEIRA|ok
CHARQUEADAS - 249 2020|AUX MANUTENÇÃO PREDIAL|5|AUX MANUTENÇÃO PREDIAL|ok
CHARQUEADAS - 249 2020|MECÂNICO|2|MECÂNICO|ok
CHARQUEADAS - 249 2020|MEIO OFICIAL - PEDREIRO|12|MEIO OFICIAL - PEDREIRO|ok
CHARQUEADAS - 249 2020|OFICIAL - LIDER DE MANUTENÇÃO|2|OFICIAL - LIDER DE MANUTENÇÃO|ok
CHARQUEADAS - 249 2020|RECEPCIONISTA|3|RECEPCIONISTA|ok
CHARQUEADAS - 249 2020|SERVENTE DE LIMPEZA|7|SERVENTE DE LIMPEZA|ok
C.RIO GRANDE-LIMPEZA 001 2023|COPEIRO|2|COPEIRO|ok
C.RIO GRANDE-LIMPEZA 001 2023|SERVENTE DE LIMPEZA|5|SERVENTE DE LIMPEZA|ok
DMAE 895|PORTEIRO|15|PORTEIRO|ok
