NOME_ANTIGO|FICHAS|ITEM_DESTINO|ITEM_ID|VIA
,|1|—||nome vazio/lixo
1|3|—||nome vazio/lixo
3|1|—||nome vazio/lixo
41|1|—||sem correspondencia
A|1|—||nome vazio/lixo
ABRAÇADEIRA DE NYLON 300X3,6|1|—||sem correspondencia
ABRAÇADEIRA EM NYLON 2,5X100|1|—||sem correspondencia
ABRAÇADEIRA EM NYLON 3,5X200|1|—||sem correspondencia
AGUA SANITARIA 1L|1|—||sem correspondencia
ALCOOL 70% 5L|1|—||sem correspondencia
ALCOOL GEL 5L|1|—||sem correspondencia
AMACIANTE 5L|1|—||sem correspondencia
AVENTAL COM PUNHO - BRANCO|1|—||sem correspondencia
AVENTAL DE NAPA|1|AVENTAL DE NAPA|6f2dec64-5ccb-4754-a2b5-baa487765713|exato
AVENTAL DE RASPA|2|AVENTAL DE RASPA|5ce64e35-9a93-4ac7-a4c5-95c5c403a878|exato
AVENTAL DESCARTAVEL|1|—||sem correspondencia
BABUCHE - BRANCO |4|BABUCHE - BRANCO|1c728ad4-3e8d-40d7-9e5d-0b4ddf86eff0|exato
BABUCHE BRANCO|11|BABUCHE - BRANCO|1c728ad4-3e8d-40d7-9e5d-0b4ddf86eff0|exato
BABUCHE ORTOPEDICO|2|—||sem correspondencia
BABUCHE - PRETO |12|BABUCHE - PRETO|81f2d4c5-def8-45b9-8a19-690f8f692445|exato
BABUCHE PRETO|11|BABUCHE - PRETO|81f2d4c5-def8-45b9-8a19-690f8f692445|exato
BABUCHJE PRETO|1|—||sem correspondencia
BALDE|1|Balde|8fe36742-85f4-46f4-95a8-9d95800590e7|exato
BALDE 15L|1|—||sem correspondencia
BALDE 6L|1|—||sem correspondencia
BATERIA STHIL AP 30.0|1|—||sem correspondencia
BERMUDA AZUL|6|—||sem correspondencia
BERMUDA SOCIAL |2|—||sem correspondencia
BLAZER - FEMININO |4|BLAZER - FEMININO|b8468a7a-27ac-4301-8d79-ad0232fafd07|exato
BLAZER FEMININO|9|BLAZER - FEMININO|b8468a7a-27ac-4301-8d79-ad0232fafd07|exato
BLAZER - MASCULINO |3|BLAZER - MASCULINO|22be1541-a788-4383-bf35-998dd887fc9f|exato
BLAZER MASCULINO|10|BLAZER - MASCULINO|22be1541-a788-4383-bf35-998dd887fc9f|exato
BOJO PARA ROÇADEIRA A GASOLINA STHIL|1|—||sem correspondencia
BOJO PARA ROÇADEIRA A GASOLINA TOYAMA|1|—||sem correspondencia
BOJO PARA ROSADEIRA STHIL|1|—||sem correspondencia
BOLSA DE VINIL AMARELA|1|—||sem correspondencia
BONE ARABE|1|BONÉ ÁRABE|d2da9887-9a84-43e4-aa84-abb316f64444|exato
BONE PRETO|1|—||sem correspondencia
BORRACHA|1|—||sem correspondencia
BORRIFADOR 500ML|1|—||sem correspondencia
BOTA DE BORACHE PRETA|1|—||sem correspondencia
BOTA DE BORRACHA |6|—||sem correspondencia
BOTA DE PVC|8|—||sem correspondencia
BOTA DE PVC BRANCA|1|—||sem correspondencia
BOTA DE PVC - PRETA|1|BOTA DE PVC - PRETA|186fadc6-5c57-4403-b973-4ccc920a4ac4|exato
BOTINA |11|BOTINA|571af38f-baee-4cee-935b-5a45ad224dd2|exato
BOTINA COLETORES|1|—||sem correspondencia
BOTINA - PRETA|9|BOTINA - PRETA|1d851859-7d3d-4009-87ef-163bef755341|exato
BOTINA PRETA|1|BOTINA - PRETA|1d851859-7d3d-4009-87ef-163bef755341|exato
CALÇA ANTI CHAMAS|3|—||sem correspondencia
CALÇA - BRANCA|1|CALÇA - BRANCA|64bded0b-f0f2-4479-8edc-6c7298582d1e|exato
CALÇA DE MALHA COLEGIAL|3|—||sem correspondencia
CALÇA DE MALHA COLEGIAL - CINZA |13|CALÇA DE MALHA COLEGIAL - CINZA|51f1619b-661a-4d27-8394-8f48587de89e|exato
CALÇA DE MALHA COLEGIAL CINZA|1|CALÇA DE MALHA COLEGIAL - CINZA|51f1619b-661a-4d27-8394-8f48587de89e|exato
CALÇA DE OXFORD |6|CALÇA DE OXFORD|339eaa99-0013-4a6b-a68b-6d5edd6b30cd|exato
CALÇA DE PROTEÇAO|1|—||sem correspondencia
CALÇA DE SARJA (AZUL)|6|—||sem correspondencia
CALÇA DE SARJA (BRANCA)|6|CALÇA DE SARJA (BRANCA)|6ccfe3be-6d50-42bf-b9d7-cc5c3febecd5|exato
CALÇA DE SARJA (CINZA)|10|CALÇA DE SARJA (CINZA)|6f161e12-5c5d-4bd0-a5dc-74858a72d1ce|exato
CALÇA DE SARJA CINZA|1|CALÇA DE SARJA (CINZA)|6f161e12-5c5d-4bd0-a5dc-74858a72d1ce|exato
CALÇA JEANS|12|—||sem correspondencia
CALÇA MALHA COLEGIAL|10|CALÇA MALHA COLEGIAL|01abc9ae-f0f7-42ef-bfc9-f64308cbc589|exato
CALÇA PRETA |2|CALÇA PRETA|c6369e1c-d7e0-4c91-bd8c-f8648cc560ae|exato
CALÇA SARJA - BRANCA |4|—||sem correspondencia
CALÇA SARJA - CINZA |24|CALÇA SARJA - CINZA|9c2c75b4-009f-4868-99f3-e6ef312b85a3|exato
CALÇA SARJA - MCINZA|1|—||sem correspondencia
CALÇA SOCIAL FEMININA|14|CALÇA SOCIAL FEMININA|6565b3de-86ef-4cd9-8ac4-352c16ef2ae1|exato
CALÇA SOCIAL - FEMININA - PRETA|8|CALÇA SOCIAL - FEMININA - PRETA|fca14a22-f0b7-46d3-9ea7-8e0f65d553cd|exato
CALÇA SOCIAL - MASCULINA |1|CALÇA SOCIAL MASCULINA|6192a920-3227-41a4-be91-ff074e5b5ec1|exato
CALÇA SOCIAL MASCULINA|12|CALÇA SOCIAL MASCULINA|6192a920-3227-41a4-be91-ff074e5b5ec1|exato
CALÇA SOCIAL - MASCULINA - PRETA|3|CALÇA SOCIAL - MASCULINA - PRETA|fa40b224-feaf-4d1c-a4ca-561010466ccb|exato
CALÇA VIGIA - PRETA|2|—||sem correspondencia
CAMISA MESCLA CINZA GOLA AZUL (MC)|1|—||sem correspondencia
CAMISA MESCLA CINZA GOLA AZUL (ML)|1|—||sem correspondencia
CAMISA MESCLA CINZA GOLA AZUL ML|1|—||sem correspondencia
CAMISA MESCLA - CINZA GOLA LARANJA (MC)|3|—||sem correspondencia
CAMISA MESCLA - CINZA GOLA LARANJA (ML)|1|—||sem correspondencia
CAMISA MESCLA GOLA AZUL |1|—||sem correspondencia
CAMISA POLO CINZA |1|—||sem correspondencia
CAMISA POLO CINZA (MC)|5|CAMISA POLO CINZA (MC)|0588fdc4-d097-432b-9c7f-ff73a26a6707|exato
CAMISA POLO CINZA (ML)|6|CAMISA POLO CINZA (ML)|f1d7f77d-64c3-4b6c-96b4-a75c908e98da|exato
CAMISA POLO PRETA|4|—||sem correspondencia
CAMISA SOCIAL FEMININA AZUL (MC)|5|—||sem correspondencia
CAMISA SOCIAL FEMININA AZUL (ML)|5|—||sem correspondencia
CAMISA SOCIAL FEMININA BRANCA (ML)|2|—||sem correspondencia
CAMISA SOCIAL FEMININA (MC)|6|CAMISA SOCIAL FEMININA (MC)|da2b34ff-105c-4b6f-b70b-9770526d1170|exato
CAMISA SOCIAL FEMININA (ML)|6|CAMISA SOCIAL FEMININA (ML)|64e5e98b-2563-4cdf-b958-c23034626fe8|exato
CAMISA SOCIAL MASCULINA AZUL (MC)|5|—||sem correspondencia
CAMISA SOCIAL MASCULINA AZUL (ML)|6|—||sem correspondencia
CAMISA SOCIAL MASCULINA BRANCA (ML)|4|—||sem correspondencia
CAMISA SOCIAL MASCULINA (MC)|6|CAMISA SOCIAL MASCULINA (MC)|61d3910b-b462-4976-a576-3703984ad028|exato
CAMISA SOCIAL MASCULINA (ML)|6|CAMISA SOCIAL MASCULINA (ML)|7b360c9d-732d-4f72-8fbd-9e95a3355c5e|exato
CAMISA VERDE (ML)|1|—||sem correspondencia
CAMISETA - AZUL|1|—||sem correspondencia
CAMISETA AZUL (MC)|7|CAMISETA - AZUL (MC)|15c4c132-2996-4dd4-838e-96b628b5adc9|exato
CAMISETA AZUL (ML)|6|CAMISETA - AZUL (ML)|ff1f295c-9b47-4bf4-9240-bc432899ee87|exato
CAMISETA - BRANCA (MC)|5|CAMISETA - BRANCA (MC)|82676edd-da6b-41d0-a37b-544c72539815|exato
CAMISETA BRANCA (MC)|5|CAMISETA - BRANCA (MC)|82676edd-da6b-41d0-a37b-544c72539815|exato
CAMISETA - BRANCA (ML)|1|CAMISETA - BRANCA (ML)|15c49e7f-a420-46d7-9770-9bd333441f9b|exato
CAMISETA BRANCA (ML)|6|CAMISETA - BRANCA (ML)|15c49e7f-a420-46d7-9770-9bd333441f9b|exato
CAMISETA MESCLA AZUL (MC)|9|CAMISETA MESCLA AZUL (MC)|a9484e0b-f22c-497b-a814-483578bb3580|exato
CAMISETA MESCLA AZUL (ML)|9|CAMISETA MESCLA AZUL (ML)|d622a6a8-7718-4253-80a9-8cb221cd8ec4|exato
CAMISETA MESCLA CINZA - GOLA AZUL (MC)|1|CAMISETA MESCLA CINZA GOLA AZUL (MC)|f402da74-f738-492b-8d65-14a7d868adc2|exato
CAMISETA MESCLA CINZA GOLA AZUL (MC)|7|CAMISETA MESCLA CINZA GOLA AZUL (MC)|f402da74-f738-492b-8d65-14a7d868adc2|exato
CAMISETA MESCLA CINZA - GOLA AZUL (ML)|1|CAMISETA MESCLA CINZA GOLA AZUL (ML)|a46b6f64-e225-4684-8656-e0dbab0b8589|exato
CAMISETA MESCLA CINZA GOLA AZUL (ML)|4|CAMISETA MESCLA CINZA GOLA AZUL (ML)|a46b6f64-e225-4684-8656-e0dbab0b8589|exato
CAMISETA MESCLA GOLA AZUL MC|1|CAMISETA MESCLA GOLA AZUL (MC)|813b4649-0cbe-489f-89e0-0f19df789c0e|exato
CAMISETA MESCLA GOLA AZUL (ML)|1|CAMISETA MESCLA GOLA AZUL (ML)|60e8f35d-26f0-4159-83c7-678f94e8d271|exato
CAMISETA MESCLA LARANJA (MC)|6|—||sem correspondencia
CAMISETA MESCLA LARANJA (ML)|6|—||sem correspondencia
CAMISETA POLO - CINZA (MC)|1|CAMISETA POLO - CINZA (MC)|8edcb5a8-e73b-4f61-8d23-ecaf309e8a59|exato
CAMISETA PRETA (MC)|3|—||sem correspondencia
CAMISETA PRETA (ML)|2|—||sem correspondencia
CAMISETA - VERDE (MC)|4|CAMISETA VERDE (MC)|f638f045-11c2-4092-9729-b40e6fd8b073|exato
CAMISETA VERDE (MC)|7|CAMISETA VERDE (MC)|f638f045-11c2-4092-9729-b40e6fd8b073|exato
CAMISETA - VERDE (ML)|3|CAMISETA VERDE (ML)|a681b2c5-7f4e-4aea-b819-f9aa55ccbbf0|exato
CAMISETA VERDE (ML)|6|CAMISETA VERDE (ML)|a681b2c5-7f4e-4aea-b819-f9aa55ccbbf0|exato
CAMISETA VERMELHA (MC)|6|CAMISETA VERMELHA (MC)|e7bd93c2-2bc4-4578-8f55-7d0994eb4f88|exato
CAMISETA - VERMELHA  ML|1|CAMISETA VERMELHA (ML)|785cb026-3c6f-4119-a7b1-645bc694f061|exato
CAMISETA - VERMELHA (ML)|5|CAMISETA VERMELHA (ML)|785cb026-3c6f-4119-a7b1-645bc694f061|exato
CAMISETA VERMELHA (ML)|5|CAMISETA VERMELHA (ML)|785cb026-3c6f-4119-a7b1-645bc694f061|exato
CANETA BIC AZUL|1|—||sem correspondencia
CANETA BIC PRETA|1|—||sem correspondencia
CANETA BIC VERMELHA|1|—||sem correspondencia
CAPACETE DE PROTEÇÃO|1|—||sem correspondencia
CAPA DE CHUVA|3|CAPA DE CHUVA|4a44a3cb-2659-4ad0-866b-81cf469906e4|exato
CARREGADOR A BATERIA STHIL|1|—||sem correspondencia
CASACO ANTI CHAMAS|1|—||sem correspondencia
CASACO COLEGIAL|3|—||sem correspondencia
CERA 5L|1|—||sem correspondencia
CHAPEU DE PALHA|1|CHAPÉU DE PALHA|d2d7cd92-8de6-4aaa-a8a9-cdc4716a8987|exato
CINTO|1|CINTO|a1559d2d-43db-4c56-a2ed-288e27ca33b1|exato
COLA BASTÃO|1|—||sem correspondencia
COLETE DE LÃ |4|—||sem correspondencia
COLETE DE LÃ - SOCIAL|1|—||sem correspondencia
