NOME_ANTIGO|OCORRENCIAS|ITEM_DESTINO|ITEM_ID|VIA
LUVA DE LATEX AMARELA|449|LUVA DE LATEX AMARELA|4b134e26-4b47-4caa-8b61-2a2ecbbcfdf0|exato
LUVA DE LATEX AZUL|387|LUVA DE LATEX AZUL|e00b070f-1fbe-40c9-b10f-8ac43792dc2b|exato
JAQUETA|247|JAQUETA|b2940513-93fc-4ec1-9dfe-0bb24ad328fb|exato
BABUCHE - PRETO|166|BABUCHE - PRETO|81f2d4c5-def8-45b9-8a19-690f8f692445|exato
BOTINA - PRETA|150|BOTINA - PRETA|1d851859-7d3d-4009-87ef-163bef755341|exato
CAMISETA MESCLA CINZA GOLA AZUL (ML)|144|CAMISETA MESCLA CINZA GOLA AZUL (ML)|a46b6f64-e225-4684-8656-e0dbab0b8589|exato
CAMISETA MESCLA CINZA GOLA AZUL (MC)|136|CAMISETA MESCLA CINZA GOLA AZUL (MC)|f402da74-f738-492b-8d65-14a7d868adc2|exato
OCULOS INCOLOR|132|OCULOS INCOLOR|5e63c0c4-f466-42de-af43-2666348e9caa|exato
JALECO - CINZA|126|JALECO - CINZA|46c10107-0945-4d65-926f-0f11a61fa8d7|exato
ÓCULOS DE PROTEÇÃO CLARO|123|ÓCULOS DE PROTEÇÃO CLARO|8a702cd6-e008-4c8c-ba48-9b2984f5b466|exato
CALÇA SARJA - CINZA|113|CALÇA SARJA - CINZA|9c2c75b4-009f-4868-99f3-e6ef312b85a3|exato
LUVA DE LÁTEX AZUL|101|LUVA DE LATEX AZUL|e00b070f-1fbe-40c9-b10f-8ac43792dc2b|exato
LUVA DE LÁTEX AMARELA|96|LUVA DE LATEX AMARELA|4b134e26-4b47-4caa-8b61-2a2ecbbcfdf0|exato
MASCARA PFF2 SEM FILTRO|87|MASCARA PFF2 SEM FILTRO|27de2c52-1bc1-4a5c-91ff-3686aef8689d|exato
CALÇA DE MALHA COLEGIAL - CINZA|84|CALÇA DE MALHA COLEGIAL - CINZA|51f1619b-661a-4d27-8394-8f48587de89e|exato
SUETER|77|SUETER|6d67ea8a-b9aa-4554-911c-17d15199c4b1|exato
TOUCA DESCARTAVEL|67|TOUCA DESCARTAVEL|1dfb588d-9e57-410e-a6cc-f0fff5f261f1|exato
BOTINA|67|BOTINA|571af38f-baee-4cee-935b-5a45ad224dd2|exato
CAMISA SOCIAL FEMININA (ML)|60|CAMISA SOCIAL FEMININA (ML)|64e5e98b-2563-4cdf-b958-c23034626fe8|exato
CAMISA SOCIAL FEMININA (MC)|54|CAMISA SOCIAL FEMININA (MC)|da2b34ff-105c-4b6f-b70b-9770526d1170|exato
LUVA GREEN|54|LUVA GREEN|af259f28-a698-437b-b795-5246cb020ee6|exato
MASCARA PFF2 COM FILTRO|51|MASCARA PFF2 COM FILTRO|9842a172-d2c0-45fa-b701-bea63d3f0c4e|exato
JALECO - CINZA (MC)|49|JALECO CINZA (MC)|f3448106-a7bb-4830-97e7-3aca626cef9d|exato
CAMISETA POLO - CINZA (MC)|48|CAMISETA POLO - CINZA (MC)|8edcb5a8-e73b-4f61-8d23-ecaf309e8a59|exato
CALÇA SOCIAL - FEMININA - PRETA|48|CALÇA SOCIAL - FEMININA - PRETA|fca14a22-f0b7-46d3-9ea7-8e0f65d553cd|exato
CAMISETA POLO - CINZA (ML)|47|CAMISETA POLO - CINZA (ML)|17dac03c-96ee-4581-9750-d15cefca78f2|exato
BABUCHE - BRANCO|44|BABUCHE - BRANCO|1c728ad4-3e8d-40d7-9e5d-0b4ddf86eff0|exato
SAPATO SOCIAL FEMININO|43|SAPATO SOCIAL FEMININO|fd87c71d-a627-4147-abf0-668297130d83|exato
BABUCHE PRETO|39|BABUCHE - PRETO|81f2d4c5-def8-45b9-8a19-690f8f692445|exato
BOTA DE PVC - PRETA|37|BOTA DE PVC - PRETA|186fadc6-5c57-4403-b973-4ccc920a4ac4|exato
MOLETOM AZUL|35|MOLETOM AZUL|1a3c2c3e-f3da-48ab-80dc-e9a0fd21ca8d|exato
MOLETON - AZUL|34|MOLETON AZUL|f8f08f63-0cf1-4ca7-84af-48425cb22c51|exato
CAPA DE CHUVA|34|CAPA DE CHUVA|4a44a3cb-2659-4ad0-866b-81cf469906e4|exato
CALÇA DE SARJA (CINZA)|33|CALÇA DE SARJA (CINZA)|6f161e12-5c5d-4bd0-a5dc-74858a72d1ce|exato
BABUCHE|30|—||sem correspondencia
ÓCULOS DE PROTEÇÃO ESCURO|29|ÓCULOS DE PROTEÇÃO ESCURO|db741dac-724c-4184-bc08-e0004ab4e9b9|exato
CAMISETA MESCLA GOLA AZUL (ML)|28|CAMISETA MESCLA GOLA AZUL (ML)|60e8f35d-26f0-4159-83c7-678f94e8d271|exato
CAMISETA MESCLA GOLA AZUL (MC)|27|CAMISETA MESCLA GOLA AZUL (MC)|813b4649-0cbe-489f-89e0-0f19df789c0e|exato
MOLETON CINZA|26|MOLETON CINZA|39d1b2af-b972-4208-8044-db5c8a1a879f|exato
PROTETOR SOLAR COM REPELENTE|26|PROTETOR SOLAR COM REPELENTE|ec4fa492-990c-4d92-8829-4969e4f6604b|exato
PROTETOR AURICULAR TIPO PLUG|26|PROTETOR AURICULAR TIPO PLUG|b367df1e-ec11-40d5-af5e-3acf864d86fa|exato
MASCARA DESCARTAVEL|26|MASCARA DESCARTAVEL|9e160a1f-dbd3-4bb2-894a-be304290d22c|exato
OCULOS DE PROTEÇÃO INCOLOR|25|OCULOS DE PROTEÇÃO INCOLOR|0c2a12d1-f826-4076-aa45-b2aa757edf41|exato
SAPATO SOCIAL MASCULINO|25|SAPATO SOCIAL MASCULINO|7c6dba1b-4917-4fa2-b0ad-75d9bb3a2847|exato
CRACHÁ|25|CRACHÁ|de7c8ea5-ecd0-4c5e-a762-5e77d89953aa|exato
CALÇA SARJA|24|CALÇA SARJA|3d6d2f4e-7a3f-4303-a05b-7b48ea2855f7|exato
LUVA DE RASPA|24|LUVA DE RASPA|44a943d3-cae5-446a-9cc7-f7b2108b807e|exato
CAMISETA - BRANCA (ML)|20|CAMISETA - BRANCA (ML)|15c49e7f-a420-46d7-9770-9bd333441f9b|exato
CALÇA SARJA AZUL|19|CALÇA SARJA AZUL|867b29ae-2cc0-46bf-ab6f-22e95c31719d|exato
LUVAS PIGMENTADA|19|LUVAS PIGMENTADA|832abc74-63d6-46ca-8704-1f85c27f370b|exato
LUVA MULTITATO|18|LUVA MULTITATO|a3f80924-fc2f-436d-ae50-a10efa09169c|exato
MASCARA DE PFF2 COM FILTRO|18|MASCARA DE PFF2 COM FILTRO|8759dce0-7bf2-4742-ba72-c911a11e1260|exato
CALÇA SARJA - AZUL|18|CALÇA SARJA AZUL|867b29ae-2cc0-46bf-ab6f-22e95c31719d|exato
CAMISETA - BRANCA (MC)|18|CAMISETA - BRANCA (MC)|82676edd-da6b-41d0-a37b-544c72539815|exato
