CONTRATO|POSTO_ANTIGO|PEDIDOS|POSTO_DESTINO|POSTO_ID|VIA
BENTO GONÇALVES A.ADM 002 2021|UPA|9|UPA|0d17d103-2468-45fb-82ec-2d167e5886a4|exato
BENTO GONÇALVES LIMPEZA 048.2026|ESF ZATT|1|ESF ZATT|b0deee6e-fe34-47ab-8069-215e03bf59b6|exato
BENTO GONÇALVES LIMPEZA 048.2026|ESPECIALIDADES|2|ESPECIALIDADES|61cf7dc7-4ced-4ddc-b934-82160bf6da86|exato
BENTO GONÇALVES LIMPEZA 048.2026|UPA 24 H|3|UPA 24 H|401ff98d-fff1-4339-872b-a725ce236987|exato
BENTO GONÇALVES LIMPEZA 0672019|CAPS AD|3|CAPS AD|0874857e-e692-4f75-a1ea-bc213a7e09a8|exato
BENTO GONÇALVES LIMPEZA 0672019|ESF PROGRESSO II/CVI|2|ESF PROGRESSO II/CVI|2631625d-3227-4c77-8264-375a06b92bea|exato
BENTO GONÇALVES LIMPEZA 0672019|ESF ZATT|2|ESF ZATT|b0deee6e-fe34-47ab-8069-215e03bf59b6|exato
BENTO GONÇALVES LIMPEZA 0672019|ESPECIALIDADES|1|ESPECIALIDADES|61cf7dc7-4ced-4ddc-b934-82160bf6da86|exato
BENTO GONÇALVES LIMPEZA 0672019|UBS ZONA SUL|2|UBS ZONA SUL|58e42963-a610-43a0-94c4-898967f7eb4c|exato
BENTO GONÇALVES LIMPEZA 0672019|UPA 24 H|9|UPA 24 H|401ff98d-fff1-4339-872b-a725ce236987|exato
CAMARA DE RIO GRANDE - PORTARIA - 002.2023|CAMARA DE VEREADORES DE RIO GRANDE|3|CAMARA DE VEREADORES DE RIO GRANDE|53198113-9588-4f6c-b032-036f41648d22|exato
CANAÃ|ESCOLA CANAÃ|9|ESCOLA CANAÃ|f13a6e2f-5ee6-4e8f-989b-9d35b702d4bc|exato
CANOINHAS - EMBRAPA|CANOINHAS - EMBRAPA|3|CANOINHAS - EMBRAPA|07f4de15-efd1-413f-ab55-75d7655a954e|exato
