id|categoria|nome|ident|lotacao
d4e6906e-fe1b-4c32-ba4f-55b415859b09|equipamento|ASPIRADOR DE AGUA E PÓ WAP GTW INOX 12|NUMERO DE SERIE-FW00504201311122024|
690efbfe-cf55-4e28-b436-addae46659ad|equipamento|ASPIRADOR DE PÓ ELECTROLUX GT 3000||
78de5f9f-5e60-4862-8512-ee94b38e3df6|equipamento|ASPIRADOR DE PÓ ELETROLUX GT3000|NUMERO DE PATRIMONIO-000054|
cdd8ff26-558b-4a17-8e4d-58af86523898|equipamento|ASPIRADOR DE PÓ ELETROLUX GT3000 PRO|ELETROLUX12347|
3fd088df-a977-48e7-8bec-00cc6cc25f83|equipamento|ASPIRADOR DE PÓ ELETROLUX GT3000 PRO|ELETROLUX12348|
961e6c84-b084-45a3-9e4a-1072c4dfbc3b|equipamento|ASPIRADOR DE PÓ GTW INOX 12||
493019c0-c1f1-451b-b7b4-7db0cac226f8|equipamento|BATERIA STHIL AK20|NSERIE - 45209671855A SEM PATRIMONIO|
e0378490-93ae-4758-a7ab-8fde8e847c93|equipamento|BATERIA STHIL AP30.0|NSERIE - 545950085 SEM PATRIMONIO|
651cae92-9865-4907-9958-c1c6a6ff225b|equipamento|BATERIA STHIL AP30.0|NSERIE - 545949945 SEM PATRIMONIO|
0a5b48ad-28fb-440b-a7fa-fac7fe2ab536|equipamento|BOB CAT|BOB-8189|ADM
87bfc534-ce61-4f35-8673-daef4b8d0f35|equipamento|BOBCAT S450|NUMERO DE SERIE-B1ED11826|
d25e8da0-5926-486e-aa44-bc9dfc509734|equipamento|CARRINHO DE MÃO||
56aac2ea-3abf-4e6f-bb28-2dcb0e8a39e3|equipamento|CEFADEIRA STHIL RM 2.2 R|NSERIE - 451629222 PATRIMONIO 14508|
19f0a468-5d9c-4aeb-8b11-9fe7c504c3fc|equipamento|CEIFADEIRA|T3230425020131735|
48eb63f3-eb6a-4c84-9898-5364f9fa6d85|equipamento|CEIFADEIRA|T3230425020131947|
7e50c913-e84f-4b4b-badd-b836fbe7d7dd|equipamento|CEIFADEIRA STHIL RM 2 R|NSERIE - T323025020131723 PATRIMONIO 14507|
e0b86832-b236-4ed1-8873-32ddb3b81d6b|equipamento|CORTADOR DE GRAMA BRANCO|NUMERO DE SERIE-T3500024030041772|
44b7c5c2-adfa-4f91-8bb1-db5eba59dceb|equipamento|CORTADOR DE GRAMA TRACIONADO BUFFALO 6.5 BFGT53 SLR|BUFFALO12345|
812d493a-1547-4021-b809-d95d5d6c6bf1|equipamento|CORTADOR DE GRAMA TRACIONADO BUFFALO 6.5 BFGT53 SLR|BUFFALO12346|
7c428a95-c7a4-41d5-bddd-1c643113f007|equipamento|CORTADOR DE GRAMA TRACIONADO STHIL RM 253.3T|N° 451652936|
40ca28d4-6eaf-4ff4-8758-38bfc4b0050c|equipamento|CORTADOR DE GRAMA TRACIONADO TRAPP MC-600G|NUMERO DE SERIE-CG009602124|
49b08bb1-dabd-4b91-8126-b4a7c554d06c|equipamento|CORTADOR DE GRAMA TRACIONADO TRAPP MC-600G||
7b01885c-3235-45dd-8c28-1efec92ffc73|equipamento|ENCERADEIRA - MARCA DESCONHECIDA|ENCERADEIRA12354|
a2e1fac8-3753-4a7e-847f-55beb0d58b10|equipamento|ENCERADEIRA CERTEC||
a2130713-bc82-4856-b43b-e5effadd0544|equipamento|ENCERADEIRA CLEANER||
508a2243-00a0-4615-948c-f520fcd778fe|equipamento|Enceradeira Crismar|Enceradeira Crismar-1234|
76c9a466-e8b8-4955-9e87-42e518f5830b|equipamento|ENCERADEIRA HIGH SPEED||
85e891f1-1805-433a-811a-f6671630b4e2|equipamento|ENCERADEIRA ROMHER|ROMHER12349|
221a0061-ea17-4cf3-b8c3-e6bc996b7f67|equipamento|FS 220 - STIHL|s14466551|
54c04638-2492-4867-9c94-043240cf031c|equipamento|LAVA-JATO STHIL RE 100|NSERIE - 374471627 PATRIMONIO 14504|
7270ce85-b509-4d39-a5ec-442bf9d6a746|equipamento|LAVA-JATO STHIL RE 100|NSERIE - 375007777 PATRIMONIO 14506|
a837fa0e-9933-44e9-bea3-f692c6fa15c7|equipamento|LAVA-JATO STHIL RE-100|NSERIE -375007778 SEM PATRIMONIO|
909f0a87-a6ce-4406-8c39-07ee7237902d|equipamento|LAVADORA DE ALTA PRESSÃO RE90|NUMERO DE SERIE-932363503|
09c20a66-14a9-4591-9d48-81a5b31f1108|equipamento|Lavajato Electrolux - Power Wash Plus +|Lavajato Electrolux-1234|
75deddc9-19b5-44d8-8937-3eaee782af87|equipamento|LAVAJATO ELETROLUX ULTRAWASH 2200 PSI|ELETROLUX12350|
575bb8ca-0d75-4148-b042-1edb3663dbee|equipamento|LAVAJATO STHIL RE 100|NUMERO DE SERIE-374471629|
a4a2ef86-ecc5-4fbe-8abc-17f9874c6d6a|equipamento|LAVAJATO STHIL RE108|STHIL12351|
