contrato|n
POLÍCIA CIVIL RS LIMPEZA - 066/2026|203
UFRGS LIMPEZA GERAL - 047.2022|135
UFFS - 041.2021|103
UFRGS-LIMPEZA GERAL- 047 2022|83
TRIUNFO COLETA DE LIXO - 89.2026|69
VERANÓPOLIS - 001 2021|54
TJRS - 023.2025|45
UFRGS  JARDINAGEM - 062.2025|37
PREF POA SMS RECEPÇÃO - 98672.2025|32
CHARQUEADAS - 249 2020|31
TRIUNFO VIGIAS - 33 2024|28
UFRGS DIGITADORES - 014.2026|27
UFRGS - JARDINAGEM - 062 2025|26
UFRGS-LIMPEZA -020 2022|25
EMBRAPA - 93 2021|25
PENHA LIMPEZA - 039.2025|22
UFRGS - MOTORISTAS - 034 2022|22
GUAPORÉ LIMPEZA SMED EMERGENCIAL - 063.2026|22
CHARQUEADAS - 168 2021|19
UFRGS LIMPEZA - 020.2022|19
BENTO GONÇALVES LIMPEZA 0672019|19
VERANOPOLIS RECEPÇÃO-011.2026|17
DMAE 895|17
FURG JARDINAGEM 049 2022|14
SAMU TELEFONISTAS- 96397.2025|13
FURG HU - 006 2023|13
UFRGS - ASB - 033 2021|11
SEMAE - 3038.2020|9
CANAÃ|9
BENTO GONÇALVES A.ADM 002 2021|9
UFRGS MOTORISTAS - 034.2022|7
C.RIO GRANDE-LIMPEZA 001 2023|7
BENTO GONÇALVES LIMPEZA 048.2026|6
UFRGS ASB - 033.2021|6
CHARQUEADAS - 005 2021|6
CAXIAS DO SUL - 095.2026|5
HCPA MENSAGEIROS - 1249781.2024|4
UFRGS-COPA E COZINHA - 025 2025|4
HOSPITAL SÃO CAMILO - 50163.2025|4
CAMARA DE RIO GRANDE - PORTARIA - 002.2023|3
SEC CULT POA - PORT-88123 2024|3
CANOINHAS - EMBRAPA|3
UFRGS CARREGADORES - 095.2024|2
SALTO DO JACUI - 722 2021|2
CAXIAS DO SUL TELEFONISTAS - 2026/95|2
FUNARBE PELOTAS - 58164.2025|1
IPASEM - 13 2022|1
FURG PORTARIA - 55 2023|1
IPAM - 012 2022|1
(49 linhas)
