funcao|n
SERVENTE DE LIMPEZA|433
COLETOR|68
JARDINEIRO|61
LIMPEZA 40H POA|48
RECEPCIONISTA|45
AUX DE LIMPEZA|44
AUXILIAR DE SERVIÇOS GERAIS 40H POA|42
ASG|33
PORTEIRO|30
VIGIA|30
SUPERVISOR|29
DIGITADOR A|25
ENCARREGADO ADMINISTRATIVO|25
MERENDEIRA|19
AUX EM SAÚDE BUCAL|17
MEIO OFICIAL - PEDREIRO|12
COPEIRA|11
LIMPEZA 20H POA|10
MOTORISTA CAT D|8
AUX LIMPEZA|8
MOTORISTA CAT B|8
SUPERVISOR TÉCNICO OPERACIONAL|8
MOTORISTA CAT C|7
TARM|7
ATENDENTE DE CRECHE|6
LIMPEZA 40H 1ª DP E DHPP ALVORADA|6
AUX DE COZINHA|6
LIMPEZA 30H POA|6
TRABALHADOR VOLANTE DA AGRICULTURA|6
ROUPEIRO|6
LIMPEZA REGIME ESPECIAL 12X36 NOTURNO POA|6
ROP|6
SUPERVISOR 40H POA|5
MOTORISTA|5
AUX MANUTENÇÃO PREDIAL|5
EDUCADOR SOCIAL|5
TRATORISTA|4
LIMPEZA 40H 1ª E 2ª DP VIAMÃO|4
AUXILIAR DE VETERINARIO|4
LIMPEZA 20H 1ª DP, DEAM E DHPP NH|4
LIMPEZA 20H 1ª DP E DHPP GRAVATAÍ|4
MENSAGEIRO|4
LIMPEZA 40H SÃO LEOPOLDO|4
COPEIRO|4
COZINHEIRO GERAL|3
MONITOR|3
LIMPEZA 20H 1ª E 2ª DP CACHOEIRINHA|3
ZELADOR|3
LIMPEZA 40H 1ª DPRM GRAVATAÍ|3
LIMPEZA 30H CANOAS|3
MAQUEIRO|3
ALMOXARIFE|3
LIMPEZA 30H SÃO LEOPOLDO|3
LIMPEZA 30H DP CAMPO BOM|2
LIMPEZA 44H DPPA NH|2
LIMPEZA 20H DEAM E DRACO VIAMÃO|2
COPEIRA 40H POA|2
LIMPEZA 20H 2ª DP ALVORADA|2
AUXILIAR DE SERVIÇOS GERAIS 40H DHPP VIAMÃO|2
LIMPEZA 20 DP IVOTI|2
LIMPEZA 44H DPPA VIAMÃO|2
COORDENADOR|2
LIMPEZA 40H CANOAS|2
LIMPEZA 30H 3ª DP NH|2
LIMPEZA 44H DPPA ALVORADA|2
TELEFONISTA|2
SUPERVISOR DE TRANSPORTES|2
LIMPEZA 20H DP PORTÃO|2
COLETOR DE LIXO|2
LIMPEZA REGIME ESPECIAL 12X36 DIURNO POA|2
LIMPEZA 40H DP SAPIRANGA|2
LIMPEZA 20H DP NOVA HARTZ|2
LIMPEZA 20H DP ESTÂNCIA VELHA|2
AJUDANTE DE CARGA E DESCARGA|2
LIMPEZA 40H 2ª DP NH|2
LIMPEZA 44H DPPA SÃO LEOPOLDO|2
DIGITADOR B|2
OFICIAL - LIDER DE MANUTENÇÃO|2
LIMPEZA 44H POA|2
MECÂNICO|2
SERVIÇO BRAÇAL|2
LIMPEZA 20H DP GLORINHA|2
LIMPEZA 30H DEAM ESTEIO|1
LIMPEZA 20H CANOAS|1
TECNICA EM ENFERMAGEM|1
CARREGADOR|1
LIMPEZA 20H SÃO LEOPOLDO|1
LIMPEZA 20H DP CAPELA DE SANTANA|1
LIMPEZA 20H DP DOIS IRMÃOS|1
LIMPEZA 20H DP PAROBÉ|1
LIMPEZA 20H 1ª E 2ª DP SAPUCAIA DO SUL|1
AUXILIAR DE SERVIÇOS GERAIS 40H CANOAS|1
Recepcionista|1
LIMPEZA REGIME ESPECIAL 12X36 DIURNO CANOAS|1
Teleatendente|1
(95 linhas)
