nome|tipo_item|estado|n
,|EPI|Novo|1
1|1|Novo|3
3|u|Novo|1
41|EPI|Novo|1
A|UNIFORME|Novo|1
ABRAÇADEIRA DE NYLON 300X3,6|INSUMOS|Novo|1
ABRAÇADEIRA EM NYLON 2,5X100|INSUMOS|Novo|1
ABRAÇADEIRA EM NYLON 3,5X200|INSUMOS|Novo|1
AGUA SANITARIA 1L|INSUMOS|Novo|1
ALCOOL 70% 5L|INSUMOS|Novo|1
ALCOOL GEL 5L|INSUMOS|Novo|1
AMACIANTE 5L|INSUMOS|Novo|1
AVENTAL COM PUNHO - BRANCO|Uniforme |Novo|1
AVENTAL DE NAPA|EPI|Novo|1
AVENTAL DE RASPA|EPI|Novo|2
AVENTAL DESCARTAVEL|EPI|Novo|1
BABUCHE - BRANCO|EPI|Novo|2
BABUCHE - BRANCO |EPI|Novo|2
BABUCHE BRANCO|UNIFORME|Novo|2
BABUCHE BRANCO|EPI|Novo|9
BABUCHE ORTOPEDICO|EPI|Novo|2
BABUCHE - PRETO|MATERIAL|Novo|1
BABUCHE - PRETO|EPI |Novo|1
BABUCHE - PRETO|EPI|Novo|4
BABUCHE - PRETO|EPI|Higienizado|1
BABUCHE - PRETO|UNIFORME|Novo|2
BABUCHE - PRETO |EPI|Novo|3
BABUCHE PRETO|EPI|Novo|11
BABUCHJE PRETO|EPI|Novo|1
BALDE|CONSUMÍVEL |Novo|1
BALDE 15L|MATERIAL|Novo|1
BALDE 6L|EQUIPAMENTOS|Novo|1
BATERIA STHIL AP 30.0|EQUIPAMENTO|Novo|1
BERMUDA AZUL|UNIFORME|Novo|6
BERMUDA SOCIAL|UNIFORME|Novo|1
BERMUDA SOCIAL |UNIFORME|Novo|1
BLAZER - FEMININO|UNIFORME |Novo|1
BLAZER - FEMININO|UNIFORME|Novo|1
BLAZER - FEMININO |UNIFORME|Novo|1
BLAZER - FEMININO |UNIFORME |Novo|1
BLAZER FEMININO|UNIFORME|Novo|7
BLAZER FEMININO|UNIFORMES|Novo|2
BLAZER - MASCULINO|UNIFORME |Novo|2
BLAZER - MASCULINO |UNIFORME |Novo|1
BLAZER MASCULINO|UNIFORMES|Novo|4
BLAZER MASCULINO|UNIFORME|Novo|6
BOJO PARA ROÇADEIRA A GASOLINA STHIL|PEÇA DE REPOSIÇÃO|Novo|1
BOJO PARA ROÇADEIRA A GASOLINA TOYAMA|PEÇAS PARA REPOSIÇÃO|Novo|1
BOJO PARA ROSADEIRA STHIL|INSUMO|Novo|1
BOLSA DE VINIL AMARELA|EQUIPAMENTO|Novo|1
BONE ARABE|EPI|Novo|1
BONE PRETO|EPI|Novo|1
BORRACHA|INSUMOS|Novo|1
BORRIFADOR 500ML|MATERIAL DE LIMPEZA|Novo|1
BOTA DE BORACHE PRETA|EPI|Novo|1
BOTA DE BORRACHA|EPI|Novo|5
BOTA DE BORRACHA |EPI|Novo|1
BOTA DE PVC|EPI|Novo|8
BOTA DE PVC BRANCA|EPI|Novo|1
BOTA DE PVC - PRETA|EPI|Novo|1
BOTINA|EPI|Novo|5
BOTINA |EPI|Novo|6
BOTINA COLETORES|EPI|Novo|1
BOTINA - PRETA|EPI|Novo|8
BOTINA - PRETA|EPI |Novo|1
BOTINA PRETA|EPI|Novo|1
CALÇA ANTI CHAMAS|UNIFORME|Novo|3
CALÇA - BRANCA|UNIFORME|Novo|1
CALÇA DE MALHA COLEGIAL|UNIFORME|Novo|1
CALÇA DE MALHA COLEGIAL|UNIFORME|Higienizado|2
CALÇA DE MALHA COLEGIAL - CINZA|UNIFORME|Novo|6
CALÇA DE MALHA COLEGIAL - CINZA|UNIFORME|Higienizado|3
CALÇA DE MALHA COLEGIAL - CINZA |UNIFORME |Novo|4
CALÇA DE MALHA COLEGIAL CINZA|UNIFORME|Higienizado|1
CALÇA DE OXFORD|UNIFORME|Novo|5
CALÇA DE OXFORD |UNIFORME|Novo|1
CALÇA DE PROTEÇAO|EPI|Novo|1
CALÇA DE SARJA (AZUL)|UNIFORME|Novo|6
CALÇA DE SARJA (BRANCA)|UNIFORME|Novo|6
CALÇA DE SARJA (CINZA)|UNIFORME|Novo|9
CALÇA DE SARJA (CINZA)|UNIFORMES|Novo|1
CALÇA DE SARJA CINZA|UNIFORME|Novo|1
CALÇA JEANS|UNIFORME|Novo|12
CALÇA MALHA COLEGIAL|UNIFORME|Novo|10
CALÇA PRETA|UNIFORME |Novo|1
CALÇA PRETA |UNIFORME|Novo|1
CALÇA SARJA - BRANCA |UNIFORME|Higienizado|1
CALÇA SARJA - BRANCA |UNIFORME |Novo|3
CALÇA SARJA - CINZA|UNIFORME |Higienizado|1
CALÇA SARJA - CINZA|UNIFORME|Higienizado|6
CALÇA SARJA - CINZA|UNIFORME|Novo|9
CALÇA SARJA - CINZA|Uniforme|Novo|1
CALÇA SARJA - CINZA|Uniforme |Novo|1
CALÇA SARJA - CINZA |UNIFORME|Novo|5
CALÇA SARJA - CINZA |UNIFORME |Higienizado|1
CALÇA SARJA - MCINZA|UNIFORME|Novo|1
CALÇA SOCIAL FEMININA|UNIFORMES|Novo|1
CALÇA SOCIAL FEMININA|UNIFORME|Novo|13
Calça Social - Feminina - Preta|Uniforme |Novo|1
CALÇA SOCIAL - FEMININA - PRETA|UNIFORME|Novo|4
CALÇA SOCIAL - FEMININA - PRETA|UNIFORME|Higienizado|2
CALÇA SOCIAL - FEMININA - PRETA|UNIFORME |Novo|1
CALÇA SOCIAL - MASCULINA |UNIFORME|Novo|1
CALÇA SOCIAL MASCULINA|UNIFORMES|Novo|2
CALÇA SOCIAL MASCULINA|UNIFORME|Novo|10
CALÇA SOCIAL - MASCULINA - PRETA|UNIFORME|Higienizado|1
CALÇA SOCIAL - MASCULINA - PRETA|UNIFORME |Novo|2
CALÇA VIGIA - PRETA|UNIFORME|Higienizado|1
CALÇA VIGIA - PRETA|UNIFORME|Novo|1
CAMISA MESCLA CINZA GOLA AZUL (MC)|UNIFORME|Higienizado|1
CAMISA MESCLA CINZA GOLA AZUL (ML)|UNIFORME|Higienizado|1
CAMISA MESCLA CINZA GOLA AZUL ML|UNIFORME|Higienizado|1
CAMISA MESCLA - CINZA GOLA LARANJA (MC)|UNIFORME |Novo|3
CAMISA MESCLA - CINZA GOLA LARANJA (ML)|UNIFORME |Novo|1
CAMISA MESCLA GOLA AZUL |UNIFORME|Novo|1
CAMISA POLO CINZA |UNIFORME|Novo|1
CAMISA POLO CINZA (MC)|UNIFORME|Novo|4
CAMISA POLO CINZA (MC)|UNIFORMES|Novo|1
CAMISA POLO CINZA (ML)|UNIFORME|Novo|5
CAMISA POLO CINZA (ML)|UNIFORMES|Novo|1
CAMISA POLO PRETA|UNIFORME|Novo|4
CAMISA SOCIAL FEMININA AZUL (MC)|UNIFORME|Novo|5
CAMISA SOCIAL FEMININA AZUL (ML)|UNIFORME|Novo|5
CAMISA SOCIAL FEMININA BRANCA (ML)|UNIFORME|Novo|2
CAMISA SOCIAL FEMININA (MC)|UNIFORMES|Novo|1
CAMISA SOCIAL FEMININA (MC)|UNIFORME|Novo|5
CAMISA SOCIAL FEMININA (ML)|UNIFORME|Novo|6
CAMISA SOCIAL MASCULINA AZUL (MC)|UNIFORME|Novo|5
CAMISA SOCIAL MASCULINA AZUL (ML)|UNIFORME|Novo|6
CAMISA SOCIAL MASCULINA BRANCA (ML)|UNIFORME|Novo|4
CAMISA SOCIAL MASCULINA (MC)|UNIFORME|Novo|6
CAMISA SOCIAL MASCULINA (ML)|UNIFORME|Novo|6
CAMISA VERDE (ML)|UNI|Novo|1
CAMISETA - AZUL|UNIFORME|Novo|1
CAMISETA AZUL (MC)|UNIFORME|Novo|7
CAMISETA AZUL (ML)|UNIFORME|Novo|5
CAMISETA AZUL (ML)|UNIFORMES|Novo|1
CAMISETA - BRANCA (MC)|UNIFORME|Novo|3
CAMISETA - BRANCA (MC)|Uniforme|Novo|1
CAMISETA - BRANCA (MC)|UNIFORME |Novo|1
CAMISETA BRANCA (MC)|UNIFORMES|Novo|1
CAMISETA BRANCA (MC)|UNIFORME|Novo|4
CAMISETA - BRANCA (ML)|Uniforme |Novo|1
CAMISETA BRANCA (ML)|UNIFORME|Novo|5
CAMISETA BRANCA (ML)|UNIFORMES|Novo|1
CAMISETA MESCLA AZUL (MC)|UNIFORME|Novo|9
CAMISETA MESCLA AZUL (ML)|UNIFORME|Novo|6
CAMISETA MESCLA AZUL (ML)|UNIFORMES |Novo|1
CAMISETA MESCLA AZUL (ML)|UNIFORMES|Novo|2
CAMISETA MESCLA CINZA - GOLA AZUL (MC)|UNIFORME|Novo|1
CAMISETA MESCLA CINZA GOLA AZUL (MC)|UNIFORME|Novo|3
CAMISETA MESCLA CINZA GOLA AZUL (MC)|UNIFORME|Higienizado|4
CAMISETA MESCLA CINZA - GOLA AZUL (ML)|UNIFORME|Higienizado|1
CAMISETA MESCLA CINZA GOLA AZUL (ML)|UNIFORME|Novo|1
CAMISETA MESCLA CINZA GOLA AZUL (ML)|UNIFORME|Higienizado|3
CAMISETA MESCLA GOLA AZUL MC|UNIFORME|Higienizado|1
CAMISETA MESCLA GOLA AZUL (ML)|UNIFORME|Novo|1
CAMISETA MESCLA LARANJA (MC)|UNIFORMES|Novo|1
CAMISETA MESCLA LARANJA (MC)|UNIFORME|Novo|5
CAMISETA MESCLA LARANJA (ML)|UNIFORME|Novo|6
CAMISETA POLO - CINZA (MC)|UNIFORME |Novo|1
CAMISETA PRETA (MC)|UNIFORME|Novo|3
CAMISETA PRETA (ML)|UNIFORME|Novo|2
CAMISETA - VERDE (MC)|UNIFORME |Novo|1
CAMISETA - VERDE (MC)|UNIFORME |Higienizado|1
CAMISETA - VERDE (MC)|Uniforme |Novo|1
CAMISETA - VERDE (MC)|UNIFORME|Novo|1
CAMISETA VERDE (MC)|UNIFORME|Novo|7
CAMISETA - VERDE (ML)|UNIFORME|Higienizado|1
CAMISETA - VERDE (ML)|UNIFORME |Novo|2
CAMISETA VERDE (ML)|UNIFORME|Novo|6
CAMISETA VERMELHA (MC)|UNIFORME|Novo|6
CAMISETA - VERMELHA  ML|UNIFORME|Higienizado|1
CAMISETA - VERMELHA (ML)|UNIFORME|Higienizado|3
CAMISETA - VERMELHA (ML)|UNIFORME|Novo|2
CAMISETA VERMELHA (ML)|UNIFORME|Novo|5
CANETA BIC AZUL|INSUMOS|Novo|1
CANETA BIC PRETA|INSUMOS|Novo|1
CANETA BIC VERMELHA|INSUMOS|Novo|1
CAPACETE DE PROTEÇÃO|EPI|Novo|1
CAPA DE CHUVA|EPI|Novo|3
CARREGADOR A BATERIA STHIL|EQUIPAMENTOS|Novo|1
CASACO ANTI CHAMAS|UNIFORME|Novo|1
CASACO COLEGIAL|UNIFORME|Novo|2
CASACO COLEGIAL|UNIFORMES|Novo|1
CERA 5L|INSUMOS|Novo|1
CHAPEU DE PALHA|EPI|Novo|1
CINTO|UNIFORME|Novo|1
COLA BASTÃO|INSUMOS|Novo|1
COLETE DE LÂ|UNIFORME|Novo|1
COLETE DE LÃ|UNIFORME |Novo|1
COLETE DE LÃ|UNIFORME|Novo|1
COLETE DE LÃ |UNIFORME|Novo|1
COLETE DE LÃ - SOCIAL|UNIFORME|Novo|1
COLETE REFLETIVO|EPI|Novo|1
COLETE REFLETIVO (SOS TRIUNFO)|EPI|Novo|1
COLETE REFLETIVO - VERDE|EPI|Novo|1
COLETE SAMU|UNIFORME|Novo|6
COLETE VIGIAS|EPI|Novo|3
COLETE VIGIAS |EPI|Novo|1
CONE DE SINALIZAÇAO|EQUIPAMENTO|Novo|1
CORREIA 6PK 1500|EQUIPAMENTOS|Novo|1
CORREIA N94|EQUIPAMENTOS|Novo|1
CORREIA N98|EQUIPAMENTOS|Novo|1
CORRENTE PARA MOTOSERRA|MATERIAL|Novo|1
COTURNO|EPI|Novo|1
DESENTUPIDOR|EQUIPAMENTOS|Novo|1
DESINCRUSTANTE ACIDO 5L|INSUMOS|Novo|1
DESINFETANTE 5L|INSUMOS|Novo|1
DETECTOR DE METAL|EQUIPAMENTOS|Novo|1
DETERGENTE 5L|INSUMOS|Novo|1
DETERGENTE CLORADO 5L|INSUMOS|Novo|1
eeeeeeeeee|eeeeeeeeeee|Novo|1
ELETRONICOS - MONITOR LG|MONITOR|Novo|1
ELETRONICOS - TV 32'|TELEVISORES|Novo|1
ENXADA CABO DE MADEIRA |UTILITARIO|Novo|1
ESCOVA DE VASO|EQUIPAMENTOS|Novo|1
ESOVIHA DE BANHEIRO|MATERIAL|Novo|1
ESPANADOR|EQUIPAMENTOS|Novo|1
ESPANADOR ELETROSTATICO|EQUIPAMENTOS|Novo|1
ESPONJA DE AÇO|MATERIAL|Novo|1
ESPONJA MAGICA|MATERIAL|Novo|1
ETIQUETAS ADESIVAS AZUL|INSUMOS|Novo|1
ETIQUETAS ADESIVAS BRANCAS|INSUMOS|Novo|1
ETIQUETAS ADESIVAS VERDES|INSUMOS|Novo|1
EXTENSÃO 30M|EQUIPAMENTOS|Novo|1
FIBRA AMARELA 350mm|INSUMOS|Novo|1
FIBRA BRANCA 3500mm|INSUMOS|Novo|1
FIBRA BRANCA 410mm|INSUMOS|Novo|1
FIBRA PRETA 410mm|INSUMOS|Novo|1
FIBRA PRETA 510mm|INSUMOS|Novo|1
FIBRA VERDE - 350mm|UTILITARIO|Novo|1
FIBRA VERDE 350mm|INSUMOS|Novo|1
FIBRA VERDE 410mm|INSUMOS|Novo|1
FIBRA VERDE 510mm|INSUMOS|Novo|1
FIBRA VERMELHA 350mm|INSUMOS|Novo|1
FILTRO PARA ASPIRADOR DE PO|INSUMO|Novo|1
FILTRO PARA ROÇADEIRA|EQUIPAMENTO|Novo|1
FIO DE NYLON|INSUMOS|Novo|1
FITA ADESIVA LARGA|INSUMOS|Novo|1
FITA CREPE|INSUMOS|Novo|1
FONTE MANCER THUNDER 400W|ELETRONICOS|Novo|1
GALAO - ALCOOL GEL|MATERIAL|Novo|1
GALAO - CERA|MATERIAL|Novo|1
GALAO - CLORO|MATERIAL|Novo|1
GLIFOSATO|MATERIAL|Novo|1
GLIFOSATO|INSUMO|Novo|1
GRAVATA|UNIFORME|Novo|1
GRAXA AZUL|INSUMOS|Novo|1
JALECO AZUL (MC)|UNIFORME|Novo|1
JALECO AZUL (ML)|UNIFORME|Novo|4
JALECO BRANCO (MC)|UNIFORME|Novo|6
JALECO BRANCO (ML)|UNIFORME|Novo|6
JALECO - CINZA (MC)|UNIFORME|Higienizado|2
JALECO - CINZA (MC)|UNIFORME |Novo|4
JALECO - CINZA (MC)|UNIFORME|Novo|4
JALECO CINZA (MC)|UNIFORME|Novo|4
JALECO CINZA MC|UNIFORME|Novo|1
JALECO CINZA (ML)|UNIFORME|Novo|6
JALECO PRETO COM DETALHE BRANCO (MC)|UNIFORME |Novo|1
JALECO - PRETO (MC)|Uniforme |Novo|1
JALECO PRETO (MC)|UNIFORMES|Novo|1
JALECO PRETO (MC)|UNIFORME|Novo|4
JAQUETA|UNIFORMES|Novo|1
JAQUETA|UNIFORME|Higienizado|6
JAQUETA|UNIFORME|Novo|17
JAQUETA |UNIFORME|Novo|1
JAQUETA |UNIFORME|Higienizado|2
LAMINA PARA MATO DE ROSADEIRA|MATERIAL|Novo|1
LAPISEIRA|INSUMOS|Novo|1
LAVA CARROS 5L|INSUMOS|Novo|1
LAVADORA DE ALTA PREÇÃO 220V|EQUIPAMENTO|Novo|1
LIMPA VIDROS 5L|INSUMOS|Novo|1
LUSTRA MOVEL|MATERIAL|Higienizado|1
LUVA ANTI CORTE|EPI|Novo|1
LUVA DE LATEX AMARELA|EPI|Novo|3
LUVA DE LATEX AMARELA |EPI|Novo|2
LUVA DE LATEX AZUL|EPI|Novo|4
LUVA DE LATEX AZUL  |EPI|Novo|1
LUVA DE PROCEDIMENTO|EPI|Novo|1
LUVA DE PROCEDIMENTO SEM LATEX|EPI|Novo|1
LUVA GREEN |EPI|Novo|1
LUVA ISOLANTE ELETRECISTA|EPI|Novo|1
LUVA MULTI TATO|EPI|Novo|2
LUVA MULTITATO|EPI|Novo|2
LUVA MULTITATO |EPI|Novo|1
LUVA PIGMENTADA|EPI|Novo|1
LUVA PIGMENTADA |EPI|Novo|1
LUVA RASPA DE COURO|EPI|Novo|1
MACACÃO DE SEGURANÇA TYVEK|EPI|Novo|2
MACACÃO DE SEGURANÇA TYVEK |EPI|Novo|1
MANGOTE AZUL|EPI|Novo|1
MANGOTE TERMICO|EPI|Novo|1
MARCA TEXTO AMARELO|INSUMOS|Novo|1
MARCA TEXTO LARANJA|INSUMOS|Novo|1
MARCA TEXTO ROSA|INSUMOS|Novo|1
MARCA TEXTO VERDE|INSUMOS|Novo|1
MASCARA DE GASES|EPI|Novo|1
MASCARA DE PFF2|EPI|Novo|1
MASCARA DE PROTEÇÃO DE PANO|EPI|Novo|1
MASCARA DESCARTAVEL|EPI|Novo|1
