localizacao|n
|37
00.00|13
F-04-08|12
D-04-11|10
B-02-07|10
D-04-10|10
D4.10|9
F-04-07|9
A4.02|8
A4.04|8
B-04-07|8
A-03-14|8
A-03-04|7
B4.02|7
D-04-12|6
A-02-02|6
A-02-01|6
D3.04|6
A4.09|6
B4.04|6
A4.08|6
C1.07|6
A2.03|6
G-06-06|6
D-04-13|6
G-04-05|5
B-03-07|5
A-03-03|5
C1.04|5
A3.03|5
D-03-04|5
A-04-08|5
D3.05|5
B-01-07|5
A1.01|5
D-03-05|4
A1.02|4
B2.02|4
C2.02|4
A1.04|4
D2.04|4
A4.03|4
A4.01|4
D-03-06|4
A-03-01|4
C2.01|4
C1.05|4
D-03-07|4
1|4
A3.02|4
A-04-03|4
A-01-03|3
A-04-01|3
A-02-10|3
B5.03|3
D-04-09|3
G-05-07|3
B5.08|3
G-02-02|3
A-04-05|3
C-01-13|3
D-04-03|3
C-04-01|3
B4.07|3
G1.04|3
A-01-05|3
D-01-08|3
D-04-04|3
C-04-04|3
INS-0004|3
G4.04|3
A-04-06|3
E-06-06|3
B6.08|3
A-04-02|3
C1.03|3
A-02-04|3
C-04-03|3
F5.02|3
A-02-06|3
B-06-07|3
G-05-05|3
A1.03|3
D-02-05|3
C-04-02|3
F5.03|3
B-02-10|2
C-03-03|2
D-01-02|2
A2.07|2
A-02-12|2
C-05-05|2
A-04-13|2
B-06-02|2
A-04-14|2
A2.09|2
B3.03|2
D-01-01|2
B-05-04|2
G1.03|2
G3.03|2
A-02-05|2
B5.02|2
F-04-06|2
E-06-01|2
D-03-03|2
A4.07|2
D-04-02|2
D-03-02|2
D-03-01|2
C6.05|2
C-05-13|2
A-03-05|2
D-01-03|2
E-05-08|2
D-02-01|2
C-03-02|2
B2.01|2
A-01-02|2
G-04-06|2
B-03-03|2
A4.10|2
C-03-12|2
C-02-06|2
E-04-05|2
A-04-04|2
E-04-02|2
D-02-08|2
A-04-09|2
D-01-06|2
G4.03|2
D4.01|2
C-04-10|2
A-01-07|2
A-01-06|2
D-02-06|2
E-04-01|2
D-02-03|2
A-04-10|2
A-01-04|2
E-04-06|2
E-04-04|2
C1.02|2
C6.03|2
teste|2
D-02-02|2
G-05-01|2
C6.04|2
D-03-11|2
C-03-04|2
A-03-02|2
A4.15|2
B-06-04|2
G-06-05|2
D-02-10|2
G-05-03|2
E-02-08|2
G-04-08|2
G-04-04|2
F-01-02|2
C-04-05|2
B-06-09|2
D-03-08|2
E-04-03|2
A-01-11|2
D-03-12|2
D3.06|2
A-04-15|2
E-06-02|2
A3.04|2
D3.02|2
D-01-04|2
B-06-03|2
B-05-03|2
B-01-13|2
A-02-03|2
C-03-01|2
B3.07|2
B-05-02|2
B-06-01|1
B-06-10|1
B-04-08|1
D-01-12|1
B-01-08|1
Z2.19|1
A4.05|1
Z10.10|1
C-02-08|1
B-01-05|1
C-02-01|1
C3.04|1
E-04-08|1
F4.02|1
C-05-01|1
D-04-06|1
E2.04|1
J8.04|1
A-01-09|1
D-01-07|1
C-06-10|1
C-06-06|1
F3.01|1
B4.10|1
C-02-09|1
A4.14|1
B-05-10|1
E-05-01|1
E-03-03|1
C-03-07|1
E-06-03|1
E-05-06|1
E2.02|1
C-02-10|1
G-03-06|1
B-04-13|1
A-02-07|1
B-03-09|1
C-03-10|1
B-06-12|1
J6.02|1
00|1
A-01-13|1
C-01-04|1
C-01-05|1
CX.02|1
B-01-11|1
A-01-14|1
B-03-05|1
C-02-12|1
G-04-01|1
B2.08|1
C-06-08|1
B2.03|1
E-03-04|1
C-03-05|1
CX.06|1
A-04-11|1
C-01-08|1
C2.07|1
C-01-11|1
C-06-04|1
C-03-11|1
C-01-07|1
D-04-08|1
B-01-06|1
C-06-07|1
D-01-13|1
C-04-06|1
F2.03|1
C-02-02|1
B-01-02|1
B-04-04|1
E-03-02|1
C-05-11|1
B-03-10|1
C-03-06|1
G-04-05-06/02|1
D-04-05|1
C-04-11|1
D-01-14|1
B2.10|1
B3.02|1
D4.15|1
D2.03|1
C-04-08|1
C3.05|1
F5.04|1
E-03-07|1
C-06-01|1
D-03-09|1
E-01-03|1
F1.06|1
B-05-12|1
F2.01|1
C-0409|1
A-03-014|1
B-04-10|1
C-02-11|1
D-02-09|1
C-02-04|1
TESTE|1
C-06-02|1
C-05-4|1
EGG|1
B-02-08|1
C-05-03|1
B3.11|1
C6.07|1
C-03-08|1
B-06-08|1
D-04-07|1
F-02-02|1
C-04-07|1
C-06-09|1
C3.12|1
B-03-06|1
C2.03|1
E5.04|1
A-01-013|1
B-02-02|1
C-01-06|1
C3.03|1
E-06-07|1
F4.04|1
CX.05|1
D3.01|1
E-03-01|1
C-05-02|1
B4,01|1
CHAO|1
E5.07|1
B6.10|1
B-02-09|1
00,00|1
B-02-13|1
C-01-09|1
B-01-03|1
E5.05|1
A2.08|1
EPI-0020|1
