contrato|funcao|n
BENTO GONÇALVES A.ADM 002 2021|COPEIRA|9
BENTO GONÇALVES LIMPEZA 048.2026|SERVENTE DE LIMPEZA|6
BENTO GONÇALVES LIMPEZA 0672019|SERVENTE DE LIMPEZA|19
CAMARA DE RIO GRANDE - PORTARIA - 002.2023|PORTEIRO|3
CANAÃ|ATENDENTE DE CRECHE|6
CANAÃ|SERVENTE DE LIMPEZA|2
CANAÃ|TECNICA EM ENFERMAGEM|1
CANOINHAS - EMBRAPA|JARDINEIRO|1
CANOINHAS - EMBRAPA|SERVENTE DE LIMPEZA|1
CANOINHAS - EMBRAPA|SUPERVISOR|1
CAXIAS DO SUL - 095.2026|COORDENADOR|2
CAXIAS DO SUL - 095.2026|RECEPCIONISTA|2
CAXIAS DO SUL - 095.2026|TELEFONISTA|1
CAXIAS DO SUL TELEFONISTAS - 2026/95|Recepcionista|1
CAXIAS DO SUL TELEFONISTAS - 2026/95|Teleatendente|1
CHARQUEADAS - 005 2021|SERVENTE DE LIMPEZA|6
CHARQUEADAS - 168 2021|MERENDEIRA|19
CHARQUEADAS - 249 2020|AUX MANUTENÇÃO PREDIAL|5
CHARQUEADAS - 249 2020|MECÂNICO|2
CHARQUEADAS - 249 2020|MEIO OFICIAL - PEDREIRO|12
CHARQUEADAS - 249 2020|OFICIAL - LIDER DE MANUTENÇÃO|2
CHARQUEADAS - 249 2020|RECEPCIONISTA|3
CHARQUEADAS - 249 2020|SERVENTE DE LIMPEZA|7
C.RIO GRANDE-LIMPEZA 001 2023|COPEIRO|2
C.RIO GRANDE-LIMPEZA 001 2023|SERVENTE DE LIMPEZA|5
DMAE 895|PORTEIRO|15
DMAE 895|SUPERVISOR|2
EMBRAPA - 93 2021|COLETOR DE LIXO|2
EMBRAPA - 93 2021|ENCARREGADO ADMINISTRATIVO|1
EMBRAPA - 93 2021|JARDINEIRO|8
EMBRAPA - 93 2021|SERVENTE DE LIMPEZA|14
FUNARBE PELOTAS - 58164.2025|JARDINEIRO|1
FURG HU - 006 2023|ALMOXARIFE|3
FURG HU - 006 2023|CARREGADOR|1
FURG HU - 006 2023|MAQUEIRO|3
FURG HU - 006 2023|ROUPEIRO|6
FURG JARDINAGEM 049 2022|JARDINEIRO|13
FURG JARDINAGEM 049 2022|SUPERVISOR|1
FURG PORTARIA - 55 2023|PORTEIRO|1
GUAPORÉ LIMPEZA SMED EMERGENCIAL - 063.2026|SERVENTE DE LIMPEZA|21
GUAPORÉ LIMPEZA SMED EMERGENCIAL - 063.2026|SUPERVISOR|1
HCPA MENSAGEIROS - 1249781.2024|MENSAGEIRO|4
HOSPITAL SÃO CAMILO - 50163.2025|PORTEIRO|4
IPAM - 012 2022|TELEFONISTA|1
IPASEM - 13 2022|PORTEIRO|1
PENHA LIMPEZA - 039.2025|SERVENTE DE LIMPEZA|19
PENHA LIMPEZA - 039.2025|ZELADOR|3
POLÍCIA CIVIL RS LIMPEZA - 066/2026|AUXILIAR DE SERVIÇOS GERAIS 40H CANOAS|1
POLÍCIA CIVIL RS LIMPEZA - 066/2026|AUXILIAR DE SERVIÇOS GERAIS 40H DHPP VIAMÃO|2
POLÍCIA CIVIL RS LIMPEZA - 066/2026|AUXILIAR DE SERVIÇOS GERAIS 40H POA|42
POLÍCIA CIVIL RS LIMPEZA - 066/2026|COPEIRA 40H POA|2
POLÍCIA CIVIL RS LIMPEZA - 066/2026|LIMPEZA 20 DP IVOTI|2
POLÍCIA CIVIL RS LIMPEZA - 066/2026|LIMPEZA 20H 1ª DP, DEAM E DHPP NH|4
POLÍCIA CIVIL RS LIMPEZA - 066/2026|LIMPEZA 20H 1ª DP E DHPP GRAVATAÍ|4
POLÍCIA CIVIL RS LIMPEZA - 066/2026|LIMPEZA 20H 1ª E 2ª DP CACHOEIRINHA|3
