cat|contrato|posto|n
equipamento|ADMINISTRATIVO ESCRITÓRIO|ADM|1
equipamento|CANOINHAS - EMBRAPA|CANOINHAS - EMBRAPA|7
equipamento|FURG HU - 006 2023|FURG HU RIO GRANDE|1
equipamento|FURG JARDINAGEM 049 2022|FURG RIO GRANDE|3
equipamento|POLÍCIA CIVIL RS LIMPEZA - 066/2026|PALÁCIO DA POLÍCIA|4
equipamento|UFFS - 041.2021|UFFS - CERRO LARGO 041 2021|19
equipamento|UFFS - 041.2021|UFFS - CHAPECÓ 041 2021|1
equipamento|UFFS - 041.2021|UFFS - ERECHIM 041 2021|12
equipamento|UFFS - 041.2021|UFFS - LARANJEIRAS 041 2021|11
equipamento|UFFS - 041.2021|UFFS - PASSO FUNDO 041 2021|10
equipamento|UFFS - 041.2021|UFFS - REALEZA 041 2021|10
equipamento|UFRGS - JARDINAGEM - 062 2025|UFRGS-AGRONOMIA-062|1
equipamento|UFRGS - JARDINAGEM - 062 2025|UFRGS-CENTRO-062|10
equipamento|UFRGS - JARDINAGEM - 062 2025|UFRGS-ESEFID-062|1
equipamento|UFRGS - JARDINAGEM - 062 2025|UFRGS-LITORAL-062|31
veiculo|ADMINISTRATIVO ESCRITÓRIO|ADM|12
veiculo|TRIUNFO COLETA DE LIXO|Escritório|3
veiculo|UFFS - 041.2021|UFFS - CERRO LARGO 041 2021|1
veiculo|UFRGS - ASB - 033 2021|UFRGS - AUXILIAR DE SAUDE BUCAL|1
veiculo|UFRGS - JARDINAGEM - 062 2025|UFRGS-CENTRO-062|1
(20 linhas)
