posto|n
COLETOR/GARI|68
CAMPUS VALE/PREFEITURA|67
PALÁCIO DA POLÍCIA|38
UFFS - ERECHIM 041.2021|30
EMBRAPA PELOTAS|25
UFRGS-CAMPUS SAUDE-047|25
TJRS - 2|24
UFFS - REALEZA 041 2021|23
UFFS - PASSO FUNDO 041 2021|22
TJRS - 1|21
CAMPUS VALE|19
CIDADE DA POLICIA|18
LIMPEZA HOSPITALAR ODONTO-020|17
LIMPEZA HOSPITALAR ODONTO|17
CAMPUS SAUDE|16
UFRGS-CENTRO- 1-047|15
FURG RIO GRANDE|15
HPS|15
PRONTO ATENDIMENTO 24 HORAS|14
FURG HU RIO GRANDE|13
CAMPUS ESEFID|13
SAMU PORTO ALEGRE|13
UFRGS-DITRAN-MOTORISTAS -034|13
UPA 24 H|12
CAMPUS CENTRO 1|12
PREFEITURA|11
UFRGS - AUXILIAR DE SAUDE BUCAL|11
SERVIÇOS URBANOS|11
CAMPUS VALE/IPH|10
DECA|10
CAMARA DE VEREADORES DE RIO GRANDE|10
UFFS - LARANJEIRAS 041 2021|10
UFRGS-VALE/PREFEITURA-047|10
CAMPUS SETOR 4|10
EMEF IRMÃO JERÔNIMO|9
EMEI ANITA DALL’AGNOL AMANTINO|9
UPA|9
ESCOLA CANAÃ|9
DEIC/SED|8
CAMPUS AGRONOMIA|8
SECRETARIA DE SAÚDE|8
UFRGS-SETOR-4-047|8
HCVET-020|8
UFRGS-CAMPUS VALE-062|8
CAMPUS LITORAL|7
UFRGS-ESEFID-047|7
SECRETARIA DE SAUDE|7
CAMPUS CENTRO|7
UFRGS-CAMPUS VALE/IPH-047|7
ACADEPOL/DAP|7
UFFS - ERECHIM 041 2021|7
UFRGS-CENTRO-2-047|6
ABRIGO|6
EMEI MARIA ROSA FERREIRA|6
EMEF IRMÃO ARTUR FRANCISCO|6
UFFS - CERRO LARGO 041 2021|6
AUXILIAR DE SAUDE BUCAL|6
EMEF IMACULADA CONCEIÇÃO|6
HOSPITAL MATERNO INFANTIL PRESIDENTE VARGAS|5
CAMPUS FROTA|5
SEC OBRAS|5
EMEF FELIPE DOS SANTOS|5
VINCULOS IVO ZANELLA|5
DENARC|5
DEPATRI|5
UFRGS-LITORAL-062|5
HOSPITAL SÃO CAMILO|4
US MODELO|4
GINASIO CENTRO|4
UFRGS-CENTRO-062|4
PROPLAN - PROTOCOLO|4
AGRICULTURA|4
HOSPITAL DE CLINICAS|4
3ª DPRM/DEAM SÃO LEOPOLDO|4
EMEF ZAIDA ZANON|4
UFRGS-ESEFID-062|4
CAMPUS CENTRO 2|3
CAPS AD|3
ADM|3
1ª DPRM|3
EMEI HILDA HOFFMANN PERUFFO|3
EMEI TIA FILO|3
UFRGS-FROTA-MOTORISTAS -034|3
ESPECIALIDADES|3
UFRGS-AGRONOMIA-062|3
UFRGS-AGRONOMIA-047|3
ASSISTENCIA SOCIAL|3
ESF ZATT|3
ESCOLA PIO|3
SEMAE - DIV. OBRAS - 3038 2020|3
SUINFRA – OFPROD|3
CAMBOATA|3
3ª DPPA/DJO/DPM|3
CENTRO DE CONVIVÊNCIA|3
ESCOLA SÃO MIGUEL|3
SECRETARIA DE CULTURA DE PORTO ALEGRE|3
UFFS - CHAPECÓ 041.2021|3
CANOINHAS - EMBRAPA|3
SEMAE - CENTRO ADM - 3038 2020|3
UFRGS-SUINFRA-MOTORISTAS -034|3
2ª DPPA/DJO/DPM|3
CENTRO ADMINISTRATIVO PREFEITO SAUL IRINEU FARINA|3
UFRGS-LITORAL-MOTORISTAS-034|3
ESF PROGRESSO II/CVI|2
DPRPA - 3ª DP|2
DP PORTÃO|2
DPRPA - 6ª DP|2
DPRPA - 20ª DP|2
3ª DP CANOAS|2
UBS ZONA SUL|2
DPPA VIAMÃO|2
CAMPUS VALE/VETERINARIA|2
DPPA NOVO HAMBURGO|2
PRAÇA XV DE NOVEMBRO|2
DP CAMPO BOM|2
ACADEPOL/LINHA DE TIRO|2
PRAÇA DA GRUTA|2
CHEFIA DE POLÍCIA|2
DHPP ALVORADA|2
DEAM VIAMÃO|2
DISTRITO|2
GINÁSIO MUNICIPAL LEONIR ANTÔNIO FARINA E A FEMAÇÃ|2
CRAS|2
ESCOLA OTAVIO REIS|2
2ª DP ALVORADA|2
DEPÓSITO//DMP/DAP|2
PORTARIA DA GDCE|2
1ª DP NOVO HAMBURGO|2
PORTARIA DA DIREÇÃO GERAL DG 2|2
UBS CATUPI|2
2ª DPRM CANOAS|2
